Time (s),Frequency (Hz)
0.0,14836.183184342059
0.011496598639455782,14160.875622836054
0.022993197278911564,14235.914876448462
0.034489795918367344,14724.136683961351
0.04598639455782313,13133.52014099185
0.05748299319727891,14430.202407272642
0.06897959183673469,13659.04184910612
0.08047619047619048,10880.785636852726
0.09197278911564626,11835.095870839265
0.10346938775510205,8731.47543057355
0.11496598639455782,6853.427844352347
0.1264625850340136,6193.347686370619
0.13795918367346938,6594.48659419043
0.14945578231292517,6881.417141091248
0.16095238095238096,6572.9253283252365
0.17244897959183675,6108.684161047358
0.1839455782312925,6271.283871701677
0.1954421768707483,6068.318215068473
0.2069387755102041,6532.9263435739695
0.21843537414965986,6636.199516129078
0.22993197278911565,5854.000119637763
0.24142857142857144,5135.391741296075
0.2529251700680272,5156.394840625171
0.264421768707483,6787.731942336408
0.27591836734693875,7194.554883232508
0.28741496598639454,5491.961369519933
0.29891156462585033,5195.8307502305115
0.3104081632653061,4897.525046529406
0.3219047619047619,4866.5630382619975
0.3334013605442177,5286.159886487853
0.3448979591836735,5363.182124001451
0.35639455782312923,5350.994391710885
0.367891156462585,5223.345836028003
0.3793877551020408,4919.5944858815765
0.3908843537414966,4349.721545135397
0.4023809523809524,4362.910952060968
0.4138775510204082,4779.078977102401
0.4253741496598639,4974.07408565814
0.4368707482993197,4699.814687954699
0.4483673469387755,4594.647782457351
0.4598639455782313,4821.97857034273
0.4713605442176871,4601.385818125908
0.4828571428571429,3855.1692756760663
0.49435374149659866,3843.8408554184175
0.5058503401360545,3711.1619738831178
0.5173469387755102,3976.9383268323136
0.528843537414966,4636.640348505646
0.5403401360544218,4620.427752185568
0.5518367346938775,4496.181907088792
0.5633333333333334,3996.1246593132673
0.5748299319727891,3894.5373511947805
0.5863265306122449,3830.713978610655
0.5978231292517007,4120.390936923867
0.6093197278911565,4393.780019129213
0.6208163265306123,4403.610317963567
0.632312925170068,4354.096576594165
0.6438095238095238,3728.4965942140716
0.6553061224489796,3496.6162471375947
0.6668027210884354,3675.351819632733
0.6782993197278911,3558.6519145442326
0.689795918367347,3920.892101761574
0.7012925170068027,4477.084976429518
0.7127891156462585,4216.151354989388
0.7242857142857143,4098.867517714761
0.73578231292517,4416.834908364363
0.7472789115646259,4245.02685736978
0.7587755102040816,4016.2252479848758
0.7702721088435374,4079.070723890315
0.7817687074829932,3968.1973335656626
0.7932653061224489,4236.4314475514275
0.8047619047619048,4043.0860068140037
0.8162585034013605,4086.862304785861
0.8277551020408164,4034.968514470935
0.8392517006802721,4003.483262248731
0.8507482993197278,4074.7909291638634
0.8622448979591837,3959.7436814266016
0.8737414965986394,3913.769286582118
0.8852380952380953,3931.867781853548
0.896734693877551,3868.1339732841666
0.9082312925170068,3938.0018878520145
0.9197278911564626,3964.6277754517614
0.9312244897959183,4234.593779933138
0.9427210884353742,3825.275707594509
0.9542176870748299,3832.1333239935116
0.9657142857142857,4014.540559349752
0.9772108843537415,4173.448383755526
0.9887074829931973,4326.276667113686
1.000204081632653,4132.207482359579
1.011700680272109,4732.1834776716
1.0231972789115646,4900.559241441497
1.0346938775510204,5169.635284721208
1.0461904761904761,5658.316660162573
1.057687074829932,5676.106186323602
1.0691836734693878,5322.842108711756
1.0806802721088435,5571.462530974907
1.0921768707482993,5418.446365996284
1.103673469387755,5647.238829129443
1.115170068027211,5767.956555072244
1.1266666666666667,5426.645684469371
1.1381632653061224,5965.834338035077
1.1496598639455782,6353.493192592056
1.161156462585034,6354.908489139452
1.1726530612244899,6744.409380322498
1.1841496598639456,7242.945311747445
1.1956462585034013,7318.832231858148
1.207142857142857,7400.232322618148
1.218639455782313,7379.355920917831
1.2301360544217688,7387.746881872702
1.2416326530612245,7425.207772080625
1.2531292517006802,7249.974053540268
1.264625850340136,7652.0347794961635
1.276122448979592,8229.998305060753
1.2876190476190477,7962.681552705367
1.2991156462585034,8778.71966923426
1.3106122448979591,8649.088646542947
1.3221088435374149,8374.421131402582
1.3336054421768708,8869.42345603495
1.3451020408163266,8328.9818011421
1.3565986394557823,8040.342419981749
1.368095238095238,8253.421684252338
1.379591836734694,9057.782904389294
1.3910884353741497,9014.451311443981
1.4025850340136055,8774.395033668608
1.4140816326530612,9001.949895572234
1.425578231292517,9428.393346712406
1.4370748299319729,9568.390677535765
1.4485714285714286,10159.21801560562
1.4600680272108844,9999.681500140035
1.47156462585034,10824.252642463267
1.4830612244897958,10685.5573240616
1.4945578231292518,10507.48651375203
1.5060544217687075,11110.169532883727
1.5175510204081633,11674.511570322906
1.529047619047619,12321.554331657495
1.5405442176870747,12192.048436549485
1.5520408163265307,11446.818128433808
1.5635374149659864,11687.03540331186
1.5750340136054422,12833.971105672335
1.5865306122448979,13198.774114649668
1.5980272108843538,13292.161691445255
1.6095238095238096,12477.531554202928
1.6210204081632653,12830.964292752242
1.632517006802721,13350.873295469897
1.6440136054421768,15691.534297620794
1.6555102040816327,16570.124557925927
1.6670068027210885,17130.80096413455
1.6785034013605442,18795.22399063171
1.69,19778.219478266426
1.7014965986394557,20977.483576858085
1.7129931972789116,21659.994431339634
1.7244897959183674,23877.7200804638
1.735986394557823,27503.15538713713
1.7474829931972788,30592.69059383585
